银行卡号(KH),行别,简写,长度
621087,创兴银行,创兴银行,6
622272,创兴银行,创兴银行,6
622463,创兴银行,创兴银行,6
623413,创兴银行,创兴银行,6
624337,创兴银行,创兴银行,6
625008,创兴银行,创兴银行,6
625009,创兴银行,创兴银行,6
685101,达州农村商业银行,达州农村,6
621233,达州市商业银行,达州市商,6
623588,达州市商业银行,达州市商,6
621233,达州银行,达州银行,6
623588,达州银行,达州银行,6
622546,大丰银行,大丰银行,6
622547,大丰银行,大丰银行,6
622548,大丰银行,大丰银行,6
621328,大华银行（中国）,大华银行,6
622433,大华银行（中国）,大华银行,6
623176,大华银行（中国）,大华银行,6
621328,大华中国,大华中国,6
603708,大连银行,大连银行,6
622383,大连银行,大连银行,6
622385,大连银行,大连银行,6
622993,大连银行,大连银行,6
623069,大连银行,大连银行,6
623070,大连银行,大连银行,6
623172,大连银行,大连银行,6
623173,大连银行,大连银行,6
628299,大连银行,大连银行,6
622383,大连银行（信用卡）,大连银行,6
622385,大连银行（信用卡）,大连银行,6
622395,大同银行,大同银行,6
622925,大同银行,大同银行,6
621277,大新银行,大新银行,6
622293,大新银行,大新银行,6
622294,大新银行,大新银行,6
622295,大新银行,大新银行,6
622296,大新银行,大新银行,6
622297,大新银行,大新银行,6
622373,大新银行,大新银行,6
622375,大新银行,大新银行,6
622451,大新银行,大新银行,6
622489,大新银行,大新银行,6
625940,大新银行,大新银行,6
621277,大新银行（中国）,大新银行,6
622293,大新银行（中国）,大新银行,6
622294,大新银行（中国）,大新银行,6
622295,大新银行（中国）,大新银行,6
622296,大新银行（中国）,大新银行,6
622297,大新银行（中国）,大新银行,6
622373,大新银行（中国）,大新银行,6
622375,大新银行（中国）,大新银行,6
622451,大新银行（中国）,大新银行,6
622489,大新银行（中国）,大新银行,6
625940,大新银行（中国）,大新银行,6
622415,丹东银行,丹东银行,6
623098,丹东银行,丹东银行,6
628329,丹东银行,丹东银行,6
940060,丹东银行,丹东银行,6
623137,德阳银行,德阳银行,6
623264,德阳银行,德阳银行,6
622561,德阳银行,德阳银行,6
622562,德阳银行,德阳银行,6
622563,德阳银行,德阳银行,6
622937,德州银行,德州银行,6
623101,德州银行,德州银行,6
628397,德州银行,德州银行,6
623198,东莞大朗东盈村镇银行,东莞大朗,6
623169,东莞厚街华业村镇银行,东莞厚街,6
623169,东莞厚街华业村镇银行股份有限公司,东莞厚街,6
622328,东莞农村商业银行,东莞农村,6
623038,东莞农村商业银行,东莞农村,6
625288,东莞农村商业银行,东莞农村,6
625888,东莞农村商业银行,东莞农村,6
940062,东莞农村商业银行,东莞农村,6
621439,东莞银行,东莞银行,6
622333,东莞银行,东莞银行,6
622888,东莞银行,东莞银行,6
623010,东莞银行,东莞银行,6
628398,东莞银行,东莞银行,6
940050,东莞银行,东莞银行,6
621411,东亚银行,东亚银行,6
622265,东亚银行,东亚银行,6
622266,东亚银行,东亚银行,6
622365,东亚银行,东亚银行,6
622372,东亚银行,东亚银行,6
622471,东亚银行,东亚银行,6
622472,东亚银行,东亚银行,6
622933,东亚银行,东亚银行,6
622938,东亚银行,东亚银行,6
622943,东亚银行,东亚银行,6
623031,东亚银行,东亚银行,6
623318,东亚银行,东亚银行,6
625972,东亚银行,东亚银行,6
625973,东亚银行,东亚银行,6
622266,东亚银行（贷记卡）,东亚银行,6
621411,东亚银行澳门分行,东亚银行,6
621396,东营莱商村镇银行,东营莱商,6
621656,东营莱商村镇银行,东营莱商,6
621004,东营银行,东营银行,6
623130,东营银行,东营银行,6
628217,东营银行,东营银行,6
622978,鄂尔多斯银行,鄂尔多斯,6
623093,鄂尔多斯银行,鄂尔多斯,6
628253,鄂尔多斯银行,鄂尔多斯,6
628378,鄂尔多斯银行,鄂尔多斯,6
621245,法国兴业银行,法国兴业,6
621245,法国兴业银行（中国）,法国兴业,6
621628,佛山高明顺银村镇银行,佛山高明,6
620043,福建海峡银行,福建海峡,6
621267,福建海峡银行,福建海峡,6
621664,福建海峡银行,福建海峡,6
622388,福建海峡银行,福建海峡,6
622695,福建海峡银行,福建海峡,6
623063,福建海峡银行,福建海峡,6
628360,福建海峡银行,福建海峡,6
940026,福建海峡银行,福建海峡,6
621053,福建建瓯瑞狮村镇银行,福建建瓯,6
621251,福建省农村信用社,福建省农,6
621589,福建省农村信用社,福建省农,6
621701,福建省农村信用社,福建省农,6
622127,福建省农村信用社,福建省农,6
622184,福建省农村信用社,福建省农,6
622290,福建省农村信用社,福建省农,6
622802,福建省农村信用社,福建省农,6
623036,福建省农村信用社,福建省农,6
625128,福建省农村信用社,福建省农,6
625357,福建省农村信用社,福建省农,6
628232,福建省农村信用社,福建省农,6
622290,福建省农村信用社贷记卡,福建省农,6
622802,福建省农村信用社贷记卡,福建省农,6
621251,福建省农村信用社联合社,福建省农,6
621589,福建省农村信用社联合社,福建省农,6
621701,福建省农村信用社联合社,福建省农,6
622127,福建省农村信用社联合社,福建省农,6
622184,福建省农村信用社联合社,福建省农,6
622290,福建省农村信用社联合社,福建省农,6
622802,福建省农村信用社联合社,福建省农,6
623036,福建省农村信用社联合社,福建省农,6
625128,福建省农村信用社联合社,福建省农,6
625357,福建省农村信用社联合社,福建省农,6
628232,福建省农村信用社联合社,福建省农,6
622442,抚顺银行,抚顺银行,6
623099,抚顺银行,抚顺银行,6
628302,抚顺银行,抚顺银行,6
940053,抚顺银行,抚顺银行,6
622126,阜新银行,阜新银行,6
623166,阜新银行,阜新银行,6
628353,阜新银行,阜新银行,6
623565,富邦华一银行,富邦华一,6
621415,富滇银行,富滇银行,6
622308,富滇银行,富滇银行,6
628231,富滇银行,富滇银行,6
990871,富滇银行,富滇银行,6
621061,甘肃省农村信用社,甘肃省农,6
621520,甘肃省农村信用社,甘肃省农,6
623065,甘肃省农村信用社,甘肃省农,6
628332,甘肃省农村信用社,甘肃省农,6
621010,甘肃银行,甘肃银行,6
621636,甘肃银行,甘肃银行,6
623182,甘肃银行,甘肃银行,6
628356,甘肃银行,甘肃银行,6
622967,赣州银行,赣州银行,6
623127,赣州银行,赣州银行,6
628233,赣州银行,赣州银行,6
940073,赣州银行,赣州银行,6
356879,工商银行,工商银行,6
356880,工商银行,工商银行,6
356881,工商银行,工商银行,6
356882,工商银行,工商银行,6
360883,工商银行,工商银行,6
360884,工商银行,工商银行,6
370246,工商银行,工商银行,6
370247,工商银行,工商银行,6
370248,工商银行,工商银行,6
370249,工商银行,工商银行,6
370267,工商银行,工商银行,6
374738,工商银行,工商银行,6
374739,工商银行,工商银行,6
402791,工商银行,工商银行,6
427010,工商银行,工商银行,6
427011,工商银行,工商银行,6
427012,工商银行,工商银行,6
427013,工商银行,工商银行,6
427014,工商银行,工商银行,6
427015,工商银行,工商银行,6
427016,工商银行,工商银行,6
427017,工商银行,工商银行,6
427018,工商银行,工商银行,6
427019,工商银行,工商银行,6
427020,工商银行,工商银行,6
427021,工商银行,工商银行,6
427022,工商银行,工商银行,6
427023,工商银行,工商银行,6
427024,工商银行,工商银行,6
427025,工商银行,工商银行,6
427026,工商银行,工商银行,6
427027,工商银行,工商银行,6
427028,工商银行,工商银行,6
427029,工商银行,工商银行,6
427030,工商银行,工商银行,6
427031,工商银行,工商银行,6
427032,工商银行,工商银行,6
427033,工商银行,工商银行,6
427034,工商银行,工商银行,6
427035,工商银行,工商银行,6
427036,工商银行,工商银行,6
427037,工商银行,工商银行,6
427038,工商银行,工商银行,6
427039,工商银行,工商银行,6
427062,工商银行,工商银行,6
427064,工商银行,工商银行,6
438125,工商银行,工商银行,6
438126,工商银行,工商银行,6
451804,工商银行,工商银行,6
451810,工商银行,工商银行,6
451811,工商银行,工商银行,6
458060,工商银行,工商银行,6
458061,工商银行,工商银行,6
458062,工商银行,工商银行,6
458063,工商银行,工商银行,6
458064,工商银行,工商银行,6
458065,工商银行,工商银行,6
458066,工商银行,工商银行,6
458067,工商银行,工商银行,6
458068,工商银行,工商银行,6
458069,工商银行,工商银行,6
458071,工商银行,工商银行,6
458441,工商银行,工商银行,6
489734,工商银行,工商银行,6
489735,工商银行,工商银行,6
489736,工商银行,工商银行,6
510529,工商银行,工商银行,6
513685,工商银行,工商银行,6
524047,工商银行,工商银行,6
524091,工商银行,工商银行,6
524374,工商银行,工商银行,6
525498,工商银行,工商银行,6
526836,工商银行,工商银行,6
528856,工商银行,工商银行,6
530970,工商银行,工商银行,6
530980,工商银行,工商银行,6
530981,工商银行,工商银行,6
530982,工商银行,工商银行,6
530983,工商银行,工商银行,6
530984,工商银行,工商银行,6
530985,工商银行,工商银行,6
530986,工商银行,工商银行,6
530987,工商银行,工商银行,6
530988,工商银行,工商银行,6
530989,工商银行,工商银行,6
530990,工商银行,工商银行,6
543098,工商银行,工商银行,6
544210,工商银行,工商银行,6
548259,工商银行,工商银行,6
548943,工商银行,工商银行,6
550213,工商银行,工商银行,6
558360,工商银行,工商银行,6
620030,工商银行,工商银行,6
620046,工商银行,工商银行,6
620050,工商银行,工商银行,6
620054,工商银行,工商银行,6
620058,工商银行,工商银行,6
620086,工商银行,工商银行,6
620094,工商银行,工商银行,6
620101,工商银行,工商银行,6
620114,工商银行,工商银行,6
620124,工商银行,工商银行,6
620142,工商银行,工商银行,6
620143,工商银行,工商银行,6
620146,工商银行,工商银行,6
620148,工商银行,工商银行,6
620149,工商银行,工商银行,6
620183,工商银行,工商银行,6
620184,工商银行,工商银行,6
620185,工商银行,工商银行,6
620186,工商银行,工商银行,6
620187,工商银行,工商银行,6
620200,工商银行,工商银行,6
620302,工商银行,工商银行,6
620402,工商银行,工商银行,6
620403,工商银行,工商银行,6
620404,工商银行,工商银行,6
620405,工商银行,工商银行,6
620406,工商银行,工商银行,6
620407,工商银行,工商银行,6
620408,工商银行,工商银行,6
620409,工商银行,工商银行,6
620410,工商银行,工商银行,6
620411,工商银行,工商银行,6
620412,工商银行,工商银行,6
620502,工商银行,工商银行,6
620503,工商银行,工商银行,6
620504,工商银行,工商银行,6
620505,工商银行,工商银行,6
620506,工商银行,工商银行,6
620507,工商银行,工商银行,6
620508,工商银行,工商银行,6
620509,工商银行,工商银行,6
620510,工商银行,工商银行,6
620511,工商银行,工商银行,6
620512,工商银行,工商银行,6
620516,工商银行,工商银行,6
620561,工商银行,工商银行,6
620602,工商银行,工商银行,6
620603,工商银行,工商银行,6
620604,工商银行,工商银行,6
620605,工商银行,工商银行,6
620606,工商银行,工商银行,6
620607,工商银行,工商银行,6
620608,工商银行,工商银行,6
620609,工商银行,工商银行,6
620610,工商银行,工商银行,6
620611,工商银行,工商银行,6
620612,工商银行,工商银行,6
620613,工商银行,工商银行,6
620614,工商银行,工商银行,6
620704,工商银行,工商银行,6
620705,工商银行,工商银行,6
620706,工商银行,工商银行,6
620707,工商银行,工商银行,6
620708,工商银行,工商银行,6
620709,工商银行,工商银行,6
620710,工商银行,工商银行,6
620711,工商银行,工商银行,6
620712,工商银行,工商银行,6
620713,工商银行,工商银行,6
620714,工商银行,工商银行,6
620715,工商银行,工商银行,6
620802,工商银行,工商银行,6
620803,工商银行,工商银行,6
620804,工商银行,工商银行,6
620805,工商银行,工商银行,6
620806,工商银行,工商银行,6
620807,工商银行,工商银行,6
620808,工商银行,工商银行,6
620809,工商银行,工商银行,6
620902,工商银行,工商银行,6
620903,工商银行,工商银行,6
620904,工商银行,工商银行,6
620905,工商银行,工商银行,6
620906,工商银行,工商银行,6
620907,工商银行,工商银行,6
620908,工商银行,工商银行,6
620909,工商银行,工商银行,6
620910,工商银行,工商银行,6
620912,工商银行,工商银行,6
620913,工商银行,工商银行,6
620914,工商银行,工商银行,6
621001,工商银行,工商银行,6
621102,工商银行,工商银行,6
621103,工商银行,工商银行,6
621104,工商银行,工商银行,6
621105,工商银行,工商银行,6
621106,工商银行,工商银行,6
621107,工商银行,工商银行,6
621108,工商银行,工商银行,6
621109,工商银行,工商银行,6
621110,工商银行,工商银行,6
621111,工商银行,工商银行,6
621115,工商银行,工商银行,6
621116,工商银行,工商银行,6
621117,工商银行,工商银行,6
621202,工商银行,工商银行,6
621203,工商银行,工商银行,6
621204,工商银行,工商银行,6
621205,工商银行,工商银行,6
621206,工商银行,工商银行,6
621207,工商银行,工商银行,6
621208,工商银行,工商银行,6
621209,工商银行,工商银行,6
621210,工商银行,工商银行,6
621211,工商银行,工商银行,6
621218,工商银行,工商银行,6
621220,工商银行,工商银行,6
621225,工商银行,工商银行,6
621226,工商银行,工商银行,6
621227,工商银行,工商银行,6
621240,工商银行,工商银行,6
621264,工商银行,工商银行,6
621281,工商银行,工商银行,6
621288,工商银行,工商银行,6
621300,工商银行,工商银行,6
621302,工商银行,工商银行,6
621303,工商银行,工商银行,6
621304,工商银行,工商银行,6
621305,工商银行,工商银行,6
621306,工商银行,工商银行,6
621307,工商银行,工商银行,6
621309,工商银行,工商银行,6
621310,工商银行,工商银行,6
621311,工商银行,工商银行,6
621312,工商银行,工商银行,6
621313,工商银行,工商银行,6
621314,工商银行,工商银行,6
621315,工商银行,工商银行,6
621316,工商银行,工商银行,6
621317,工商银行,工商银行,6
621367,工商银行,工商银行,6
621369,工商银行,工商银行,6
621370,工商银行,工商银行,6
621371,工商银行,工商银行,6
621372,工商银行,工商银行,6
621374,工商银行,工商银行,6
621375,工商银行,工商银行,6
621376,工商银行,工商银行,6
621377,工商银行,工商银行,6
621378,工商银行,工商银行,6
621379,工商银行,工商银行,6
621402,工商银行,工商银行,6
621404,工商银行,工商银行,6
621405,工商银行,工商银行,6
621406,工商银行,工商银行,6
621407,工商银行,工商银行,6
621408,工商银行,工商银行,6
621409,工商银行,工商银行,6
621410,工商银行,工商银行,6
621414,工商银行,工商银行,6
621423,工商银行,工商银行,6
621428,工商银行,工商银行,6
621433,工商银行,工商银行,6
621434,工商银行,工商银行,6
621464,工商银行,工商银行,6
621475,工商银行,工商银行,6
621476,工商银行,工商银行,6
621501,工商银行,工商银行,6
621502,工商银行,工商银行,6
621503,工商银行,工商银行,6
621504,工商银行,工商银行,6
621505,工商银行,工商银行,6
621506,工商银行,工商银行,6
621507,工商银行,工商银行,6
621508,工商银行,工商银行,6
621509,工商银行,工商银行,6
621510,工商银行,工商银行,6
621511,工商银行,工商银行,6
621512,工商银行,工商银行,6
621552,工商银行,工商银行,6
621558,工商银行,工商银行,6
621559,工商银行,工商银行,6
621602,工商银行,工商银行,6
621603,工商银行,工商银行,6
621604,工商银行,工商银行,6
621605,工商银行,工商银行,6
621606,工商银行,工商银行,6
621607,工商银行,工商银行,6
621608,工商银行,工商银行,6
621609,工商银行,工商银行,6
621610,工商银行,工商银行,6
621611,工商银行,工商银行,6
621612,工商银行,工商银行,6
621613,工商银行,工商银行,6
621614,工商银行,工商银行,6
621615,工商银行,工商银行,6
621616,工商银行,工商银行,6
621617,工商银行,工商银行,6
621618,工商银行,工商银行,6
621670,工商银行,工商银行,6
621702,工商银行,工商银行,6
621703,工商银行,工商银行,6
621704,工商银行,工商银行,6
621705,工商银行,工商银行,6
621706,工商银行,工商银行,6
621707,工商银行,工商银行,6
621708,工商银行,工商银行,6
621709,工商银行,工商银行,6
621710,工商银行,工商银行,6
621711,工商银行,工商银行,6
621712,工商银行,工商银行,6
621713,工商银行,工商银行,6
621714,工商银行,工商银行,6
621715,工商银行,工商银行,6
621716,工商银行,工商银行,6
621717,工商银行,工商银行,6
621718,工商银行,工商银行,6
621719,工商银行,工商银行,6
621720,工商银行,工商银行,6
621721,工商银行,工商银行,6
621722,工商银行,工商银行,6
621723,工商银行,工商银行,6
621724,工商银行,工商银行,6
621730,工商银行,工商银行,6
621731,工商银行,工商银行,6
621732,工商银行,工商银行,6
621733,工商银行,工商银行,6
621734,工商银行,工商银行,6
621749,工商银行,工商银行,6
621750,工商银行,工商银行,6
621761,工商银行,工商银行,6
621762,工商银行,工商银行,6
621763,工商银行,工商银行,6
621764,工商银行,工商银行,6
621765,工商银行,工商银行,6
621781,工商银行,工商银行,6
621803,工商银行,工商银行,6
621804,工商银行,工商银行,6
621805,工商银行,工商银行,6
621807,工商银行,工商银行,6
621809,工商银行,工商银行,6
621810,工商银行,工商银行,6
621811,工商银行,工商银行,6
621812,工商银行,工商银行,6
621813,工商银行,工商银行,6
621814,工商银行,工商银行,6
621817,工商银行,工商银行,6
621818,工商银行,工商银行,6
621901,工商银行,工商银行,6
621903,工商银行,工商银行,6
621904,工商银行,工商银行,6
621905,工商银行,工商银行,6
621906,工商银行,工商银行,6
621907,工商银行,工商银行,6
621908,工商银行,工商银行,6
621909,工商银行,工商银行,6
621910,工商银行,工商银行,6
621911,工商银行,工商银行,6
621912,工商银行,工商银行,6
621913,工商银行,工商银行,6
621914,工商银行,工商银行,6
621915,工商银行,工商银行,6
622002,工商银行,工商银行,6
622003,工商银行,工商银行,6
622004,工商银行,工商银行,6
622005,工商银行,工商银行,6
622006,工商银行,工商银行,6
622007,工商银行,工商银行,6
622008,工商银行,工商银行,6
622009,工商银行,工商银行,6
622010,工商银行,工商银行,6
622011,工商银行,工商银行,6
622012,工商银行,工商银行,6
622013,工商银行,工商银行,6
622014,工商银行,工商银行,6
622015,工商银行,工商银行,6
622016,工商银行,工商银行,6
622017,工商银行,工商银行,6
622018,工商银行,工商银行,6
622019,工商银行,工商银行,6
622020,工商银行,工商银行,6
622021,工商银行,工商银行,6
622022,工商银行,工商银行,6
622102,工商银行,工商银行,6
622103,工商银行,工商银行,6
622104,工商银行,工商银行,6
622105,工商银行,工商银行,6
622107,工商银行,工商银行,6
622110,工商银行,工商银行,6
622111,工商银行,工商银行,6
622114,工商银行,工商银行,6
622158,工商银行,工商银行,6
622159,工商银行,工商银行,6
622171,工商银行,工商银行,6
622200,工商银行,工商银行,6
622201,工商银行,工商银行,6
622202,工商银行,工商银行,6
622203,工商银行,工商银行,6
622206,工商银行,工商银行,6
622208,工商银行,工商银行,6
622210,工商银行,工商银行,6
622211,工商银行,工商银行,6
622212,工商银行,工商银行,6
622213,工商银行,工商银行,6
622214,工商银行,工商银行,6
622215,工商银行,工商银行,6
622220,工商银行,工商银行,6
622223,工商银行,工商银行,6
622224,工商银行,工商银行,6
622225,工商银行,工商银行,6
622227,工商银行,工商银行,6
622229,工商银行,工商银行,6
622230,工商银行,工商银行,6
622231,工商银行,工商银行,6
622232,工商银行,工商银行,6
622233,工商银行,工商银行,6
622234,工商银行,工商银行,6
622235,工商银行,工商银行,6
622236,工商银行,工商银行,6
622237,工商银行,工商银行,6
622238,工商银行,工商银行,6
622239,工商银行,工商银行,6
622240,工商银行,工商银行,6
622245,工商银行,工商银行,6
622246,工商银行,工商银行,6
622304,工商银行,工商银行,6
622306,工商银行,工商银行,6
622313,工商银行,工商银行,6
622314,工商银行,工商银行,6
622317,工商银行,工商银行,6
622402,工商银行,工商银行,6
622403,工商银行,工商银行,6
622404,工商银行,工商银行,6
622405,工商银行,工商银行,6
622408,工商银行,工商银行,6
622502,工商银行,工商银行,6
622504,工商银行,工商银行,6
622505,工商银行,工商银行,6
622507,工商银行,工商银行,6
622512,工商银行,工商银行,6
622513,工商银行,工商银行,6
622514,工商银行,工商银行,6
622515,工商银行,工商银行,6
622597,工商银行,工商银行,6
622599,工商银行,工商银行,6
622604,工商银行,工商银行,6
622605,工商银行,工商银行,6
622606,工商银行,工商银行,6
622607,工商银行,工商银行,6
622608,工商银行,工商银行,6
622610,工商银行,工商银行,6
622702,工商银行,工商银行,6
622703,工商银行,工商银行,6
622704,工商银行,工商银行,6
622705,工商银行,工商银行,6
622706,工商银行,工商银行,6
622709,工商银行,工商银行,6
622711,工商银行,工商银行,6
622712,工商银行,工商银行,6
622713,工商银行,工商银行,6
622714,工商银行,工商银行,6
622715,工商银行,工商银行,6
622716,工商银行,工商银行,6
622720,工商银行,工商银行,6
622889,工商银行,工商银行,6
622903,工商银行,工商银行,6
622904,工商银行,工商银行,6
622905,工商银行,工商银行,6
622910,工商银行,工商银行,6
622911,工商银行,工商银行,6
622912,工商银行,工商银行,6
622913,工商银行,工商银行,6
622926,工商银行,工商银行,6
622927,工商银行,工商银行,6
622928,工商银行,工商银行,6
622929,工商银行,工商银行,6
622930,工商银行,工商银行,6
622931,工商银行,工商银行,6
622944,工商银行,工商银行,6
622949,工商银行,工商银行,6
623002,工商银行,工商银行,6
623004,工商银行,工商银行,6
623005,工商银行,工商银行,6
623006,工商银行,工商银行,6
